source,target,value
Miscellaneous,A,134441
Lightning,A,152396
Debris Burning,A,95778
Campfire,A,44215
Arson,A,61919
Equipment Use,A,53126
Railroad,A,9338
Children,A,26732
Smoking,A,23202
Structure,A,1988
Fireworks,A,6054
Powerline,A,4862
Missing/Undefined,A,52868
Debris Burning,B,272347
Campfire,B,25911
Lightning,B,85802
Miscellaneous,B,152090
Equipment Use,B,73377
Children,B,31489
Railroad,B,18921
Smoking,B,25535
Arson,B,154181
Fireworks,B,4356
Powerline,B,7022
Structure,B,1564
Missing/Undefined,B,86781
Lightning,C,24325
Arson,C,55913
Debris Burning,C,54653
Miscellaneous,C,29189
Equipment Use,C,16580
Smoking,C,3551
Campfire,C,5002
Railroad,C,4316
Children,C,2576
Structure,C,194
Powerline,C,1763
Missing/Undefined,C,21269
Fireworks,C,746
Debris Burning,D,4263
Lightning,D,5773
Miscellaneous,D,4398
Campfire,D,557
Arson,D,6239
Equipment Use,D,2493
Railroad,D,549
Smoking,D,337
Children,D,218
Powerline,D,382
Fireworks,D,176
Structure,D,30
Missing/Undefined,D,3012
Lightning,E,4291
Miscellaneous,E,2146
Campfire,E,235
Equipment Use,E,1266
Smoking,E,153
Railroad,E,226
Debris Burning,E,1410
Arson,E,2276
Children,E,100
Fireworks,E,115
Powerline,E,217
Missing/Undefined,E,1662
Structure,E,10
Miscellaneous,F,1125
Lightning,F,3462
Campfire,F,133
Arson,F,772
Equipment Use,F,571
Debris Burning,F,462
Smoking,F,66
Children,F,42
Railroad,F,86
Powerline,F,138
Fireworks,F,47
Missing/Undefined,F,878
Structure,F,4
Equipment Use,G,199
Lightning,G,2419
Miscellaneous,G,416
Debris Burning,G,115
Smoking,G,25
Campfire,G,86
Arson,G,155
Children,G,10
Railroad,G,19
Powerline,G,64
Structure,G,6
Fireworks,G,6
Missing/Undefined,G,253
B,GA,105668
A,CA,98309
B,TX,91843
B,CA,76942
B,NC,62553
B,SC,56334
B,FL,50981
B,MS,49500
A,GA,49051
A,NY,46930
A,OR,43495
A,AZ,42694
A,NC,40158
B,AL,38813
B,NY,33269
C,TX,25452
B,MN,24883
A,CO,24413
B,OK,24357
A,MT,23229
B,AZ,23052
C,MS,22115
B,AR,21785
A,ID,20706
A,FL,20262
A,WA,19823
B,LA,19582
B,TN,19471
A,UT,19047
A,WI,18271
A,TX,18127
A,NJ,17903
C,AL,17840
B,PR,17626
A,NM,17459
C,FL,15394
B,KY,15101
A,MN,14195
B,NM,14108
A,SD,14079
B,OR,13831
A,SC,13717
C,GA,13437
B,MT,13082
B,VA,12994
B,WI,12391
B,SD,11794
B,MO,11066
C,OK,10962
B,WA,10895
C,SC,10705
B,WV,10625
B,ND,10590
B,ID,10446
C,CA,9825
A,NV,9321
C,KY,9028
A,AL,8625
C,AR,8305
B,UT,8056
C,NC,7892
B,NJ,7527
B,CO,7495
A,ME,7473
A,HI,6920
A,AK,6622
C,LA,6449
A,WV,6443
A,WY,6257
A,VA,6207
B,MI,6157
A,MS,6115
C,TN,5871
B,WY,5506
B,ME,5386
A,TN,4989
C,MO,4943
B,PA,4765
B,NV,4529
C,MN,4471
A,OK,4246
B,NE,4019
C,AZ,3821
D,TX,3782
C,WV,3712
C,SD,3600
C,NM,3545
B,AK,3386
A,MI,3312
A,PA,3247
A,LA,3220
A,KS,2961
A,CT,2680
C,MT,2650
B,KS,2639
B,IA,2601
C,ID,2587
C,PR,2544
B,HI,2431
B,OH,2387
A,ND,2348
C,VA,2201
D,CA,2137
B,CT,2113
C,OR,2098
C,UT,2091
D,FL,2057
D,OK,2057
A,NE,1989
A,MA,1847
C,ND,1781
E,TX,1781
A,MD,1722
C,WA,1713
A,PR,1706
B,NH,1613
B,MD,1563
C,KS,1506
C,NV,1505
C,NE,1462
C,WY,1448
C,CO,1387
D,KY,1385
B,IL,1302
D,MS,1227
E,CA,1187
C,WI,1110
E,OK,1105
D,ID,1062
C,AK,1045
D,AL,1044
E,FL,1035
C,IA,1003
A,KY,984
B,IN,964
C,MI,940
A,MO,938
D,NM,927
A,AR,924
A,IN,918
D,AZ,839
E,ID,810
F,TX,798
A,NH,798
D,WV,797
D,MO,778
D,SD,768
F,CA,756
D,MN,734
B,MA,727
A,OH,718
E,NM,710
F,ID,693
D,MT,691
G,AK,650
D,OR,638
A,IL,635
C,PA,635
D,TN,623
C,NY,611
E,AZ,591
D,UT,574
D,GA,549
E,MT,518
D,LA,508
D,AR,494
F,NM,493
D,NC,484
D,NV,483
E,KY,478
E,SD,461
D,SC,456
E,UT,455
C,NJ,433
F,OK,431
E,OR,417
E,NV,416
F,AZ,413
F,AK,413
D,WA,411
F,NV,407
F,FL,406
G,CA,394
G,ID,394
A,IA,394
E,AK,378
F,MT,374
D,WY,373
D,CO,362
F,UT,358
F,OR,353
C,IL,353
D,AK,349
C,HI,334
C,OH,332
E,MN,331
E,WV,310
G,NV,295
D,ND,284
E,WA,278
E,WY,273
E,CO,271
D,NE,269
B,VT,267
D,VA,263
C,ME,261
G,OR,256
B,RI,253
D,KS,251
F,WA,241
G,TX,238
G,NM,236
E,MS,227
G,MT,223
A,RI,216
E,AL,215
F,WY,213
C,MD,212
F,SD,204
E,MO,201
C,IN,179
G,AZ,176
C,CT,168
A,VT,166
E,LA,163
F,CO,161
E,KS,154
G,WA,152
E,TN,152
D,PR,149
G,UT,144
E,NC,142
E,NE,134
E,ND,132
F,MN,129
G,FL,126
E,AR,124
F,KS,120
E,VA,119
F,KY,111
E,GA,111
D,IA,104
G,WY,96
E,SC,86
B,DE,85
G,OK,81
F,WV,79
D,HI,78
F,LA,75
E,HI,75
G,CO,68
F,NE,67
A,DE,67
D,MD,66
G,SD,57
D,MI,57
D,WI,57
F,ND,56
F,HI,48
F,TN,47
E,PR,47
E,MD,46
F,MS,43
F,VA,43
A,DC,43
G,KS,42
D,NY,41
C,MA,40
F,NC,39
C,NH,38
D,PA,38
F,GA,37
D,NJ,37
D,OH,34
G,NE,33
F,AL,33
D,IL,30
E,NJ,30
F,AR,29
F,MO,27
E,IA,27
D,IN,26
G,MN,26
D,ME,24
E,WI,24
B,DC,23
E,PA,23
E,MI,22
C,VT,20
F,SC,16
G,LA,16
F,NJ,15
E,NY,15
G,GA,14
F,MD,13
D,CT,13
C,DE,12
C,RI,11
G,ND,10
E,IN,10
G,NC,9
F,PR,9
G,HI,9
F,MI,8
F,WI,7
D,MA,7
E,OH,6
G,MI,6
G,VA,6
F,IA,5
E,ME,5
E,MA,5
E,IL,5
D,DE,4
G,NJ,4
F,PA,4
G,MS,3
D,NH,3
D,VT,3
F,NY,3
G,AR,2
F,DE,2
F,OH,2
G,KY,2
F,IL,2
E,DE,1
G,SC,1
F,ME,1
G,TN,1
F,IN,1
G,WV,1
G,NY,1
F,CT,1
E,CT,1
G,WI,1